"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_107",1.23361213233339,185,82.5,138.5,0.1,FALSE,FALSE,FALSE,FALSE,0.615109589041096,172,207,224
"emb_248",1.22505857713857,93,82.5,88.5,0.25,FALSE,FALSE,FALSE,FALSE,0.263154109589041,75,289,282
"emb_030",1.2251126714541,94,85,94.5,0.15,FALSE,FALSE,FALSE,FALSE,0.265013698630137,56,40,240
"emb_111",1.22280020541898,69,87,114.5,0.05,FALSE,FALSE,FALSE,FALSE,0.190390410958904,286,272,46
"emb_131",1.22297664054826,71,87,108.5,0.05,FALSE,FALSE,FALSE,FALSE,0.195640410958904,260,225,115
"scale_04",1.23952394496946,252,87,117.5,0,FALSE,FALSE,FALSE,FALSE,0.829869863013699,12,13,27
"hapax_rate",1.22420407351206,84,90,160,0.1,FALSE,FALSE,FALSE,FALSE,0.234123287671233,28,27,56
"mean_sent_len",1.21874476738347,35,90,58,0.05,FALSE,FALSE,FALSE,FALSE,0.0959828767123288,44,58,134
"emb_224",1.22721213105153,111,90,146,0.1,FALSE,FALSE,FALSE,FALSE,0.343917808219178,171,249,238
"emb_254",1.23464777085149,207,92,126,0.1,FALSE,FALSE,FALSE,FALSE,0.657893835616438,94,64,208
