doc_id,M_128,M_256,M_512,M_1024
<urn:uuid:801dd7b8-52bb-443a-9ee0-63480e1cc578>,11.129043579101562,13.279376983642578,13.712568283081055,13.799415588378906
<urn:uuid:e9d04663-7386-496b-9a15-e3f0255fffe1>,11.042076110839844,11.042076110839844,11.470760345458984,11.470760345458984
<urn:uuid:996b93b7-9635-4e14-831e-26bedbc646dc>,14.736947059631348,14.736947059631348,14.736947059631348,16.300336837768555
<urn:uuid:92e4c456-a2b3-4a64-b0ce-27d61134cc57>,11.256063461303711,11.256063461303711,11.529220581054688,12.465801239013672
<urn:uuid:948f6ae3-7ad4-40f6-adb2-b19b834260d2>,10.046247482299805,10.214506149291992,10.530350685119629,10.71705436706543
<urn:uuid:46c9c61c-1104-4a5e-a7b1-d24472986345>,12.845478057861328,15.78369140625,15.78369140625,15.78369140625
<urn:uuid:1f75ce48-8dec-489c-8cd1-e9ac8df880a3>,15.958817481994629,15.958817481994629,15.958817481994629,15.958817481994629
<urn:uuid:28fc62fb-a425-4fa9-b301-792357ce827a>,11.484251022338867,13.813116073608398,14.310198783874512,15.838106155395508
<urn:uuid:af36497f-9b85-4d2c-a95c-5dda2d6b87b7>,12.084420204162598,13.824429512023926,13.824429512023926,13.824429512023926
<urn:uuid:969143e6-0489-4462-b36e-01a78d70d7eb>,9.681663513183594,9.681663513183594,12.326761245727539,12.54736042022705
<urn:uuid:7c327966-0a8b-42cd-8ede-2d1da1e63d4e>,10.6599760055542,10.796676635742188,11.308185577392578,12.650589942932129
<urn:uuid:bc30470a-1d4a-4b83-bcbc-b8a4dc752cfe>,9.435235977172852,9.697955131530762,10.296004295349121,10.548829078674316
<urn:uuid:0a067c64-c5a1-4fc3-85f8-7ab13794a014>,10.6823091506958,11.444397926330566,11.930397987365723,16.005830764770508
<urn:uuid:625b3841-62d2-46bb-ad80-80714f1394b4>,11.033485412597656,11.07421588897705,11.07421588897705,16.794326782226562
<urn:uuid:c142a062-63e4-459e-994a-291ac64022a2>,8.861485481262207,8.861485481262207,9.581270217895508,13.56258487701416
<urn:uuid:1fc8b1cf-d5e4-4d43-a959-7ad0e32f64c8>,12.545839309692383,12.545839309692383,14.345378875732422,14.345378875732422
<urn:uuid:e6059e00-5806-4cb1-834e-18dbe94e57d7>,17.263553619384766,17.263553619384766,17.263553619384766,17.263553619384766
<urn:uuid:02736c78-13b8-42af-8b4c-3f83b5e3d8b8>,12.81946849822998,14.666557312011719,14.666557312011719,14.666557312011719
<urn:uuid:76f9ecd0-2dbe-4694-9869-89e35321b69a>,16.116802215576172,16.116802215576172,16.116802215576172,16.116802215576172
<urn:uuid:82760a65-cb9f-428c-b19c-ec67ab3ff267>,11.924572944641113,12.968476295471191,14.944424629211426,14.944424629211426
<urn:uuid:677238d8-e9d2-4018-80ff-235d2d6baefc>,16.335891723632812,16.335891723632812,16.335891723632812,16.395648956298828
<urn:uuid:fe836210-28f5-4312-a0e9-4021517679ad>,14.14716625213623,14.524077415466309,14.524077415466309,14.524077415466309
<urn:uuid:a58a17d2-dc89-4d97-806a-d54a5f24069e>,9.62758731842041,9.62758731842041,10.697713851928711,12.876092910766602
<urn:uuid:9c63b599-5bb0-488c-a48a-4f86151be1fa>,11.37264633178711,13.07658863067627,13.396486282348633,13.396486282348633
<urn:uuid:e71d9138-f32b-4e4e-9c8a-fdd4c156c82a>,14.021151542663574,14.021151542663574,14.021151542663574,14.021151542663574
<urn:uuid:fa95991a-74ae-4dff-9ea8-d68189509398>,9.901937484741211,13.361231803894043,13.361231803894043,13.361231803894043
<urn:uuid:9b998d9d-ee27-4020-8543-1f73a23b35a3>,11.437967300415039,11.463762283325195,12.478375434875488,13.737796783447266
<urn:uuid:658b484c-d5a1-4170-93e1-ca11c5e422e1>,15.256940841674805,15.256940841674805,15.256940841674805,15.256940841674805
